                                                                                                                                                                                                                            19:00 Friday, September 29, 2017   1

Obs    NAME                LABEL                                 NRULES    IMPORTANCE    VIMPORTANCE     RATIO

  1    GiftCnt36           Gift Count 36 Months                     1        1.00000       1.00000      1.00000
  2    DemMedHomeValue     Median Home Value Region                 3        0.71020       0.20988      0.29552
  3    PromCnt12           Promotion Count 12 Months                2        0.54881       0.00000      0.00000
  4    GiftAvgCard36       Gift Amount Average Card 36 Months       2        0.54485       0.22674      0.41614
  5    GiftAvgLast         Gift Amount Last                         1        0.52413       0.67188      1.28189
  6    GiftTimeLast        Time Since Last Gift                     1        0.48092       0.44530      0.92595
  7    GiftAvgAll          Gift Amount Average All Months           1        0.37904       0.00000      0.00000
  8    DemCluster          Demographic Cluster                      1        0.31392       0.00000      0.00000
  9    StatusCatStarAll    Status Category Star All Months          1        0.29456       0.06599      0.22403
 10    DemHomeOwner        Home Owner                               1        0.27057       0.00000      0.00000
